"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"コスモスイニシア"	"8844"	"ＪＱ"	"▼"	"560.0"	"15:00"	"-5.0"	"-0.88%"	"44,600"
"レオパレス２１"	"8848"	"東１"	"▲"	"188.0"	"15:00"	"-4.0"	"-2.08%"	"5,452,900"
"スターツコーポレーション"	"8850"	"東１"	"▼"	"2,471.0"	"15:00"	"-10.0"	"-0.40%"	"32,500"
"日住サービス"	"8854"	"東２"	""	"1,891.0"	"  :  "	"0.0"	"0.00%"	"0"
"フジ住宅"	"8860"	"東１"	"▼"	"840.0"	"15:00"	"+10.0"	"+1.20%"	"31,000"
"空港施設"	"8864"	"東１"	"▼"	"550.0"	"15:00"	"-1.0"	"-0.18%"	"21,600"
"明和地所"	"8869"	"東１"	"▼"	"559.0"	"15:00"	"+1.0"	"+0.18%"	"23,400"
"ゴールドクレスト"	"8871"	"東１"	"▼"	"1,461.0"	"15:00"	"+8.0"	"+0.55%"	"115,700"
"リログループ"	"8876"	"東１"	"▼"	"3,030.0"	"15:00"	"-35.0"	"-1.14%"	"351,200"
"日本エスリード"	"8877"	"東１"	"▼"	"1,555.0"	"15:00"	"-8.0"	"-0.51%"	"11,700"
"日神不動産"	"8881"	"東１"	"▲"	"453.0"	"15:00"	"+15.0"	"+3.42%"	"39,200"
"ラ・アトレ"	"8885"	"ＪＱ"	"▲"	"703.0"	"15:00"	"0.0"	"0.00%"	"4,500"
"ウッドフレンズ"	"8886"	"ＪＱ"	"▼"	"2,894.0"	"14:33"	"-37.0"	"-1.26%"	"4,500"
"リベレステ"	"8887"	"ＪＱ"	"▲"	"884.0"	"15:00"	"+12.0"	"+1.38%"	"29,200"
"ＡＰＡＭＡＮ"	"8889"	"ＪＱ"	"▼"	"752.0"	"15:00"	"-27.0"	"-3.47%"	"72,200"
"レーサム"	"8890"	"ＪＱ"	"▲"	"1,006.0"	"15:00"	"-8.0"	"-0.79%"	"67,900"
"エムジーホーム"	"8891"	"東２"	"▲"	"651.0"	"15:00"	"+3.0"	"+0.46%"	"5,500"
"日本エスコン"	"8892"	"東１"	"▲"	"789.0"	"15:00"	"+11.0"	"+1.41%"	"242,800"
"新日本建物"	"8893"	"ＪＱ"	"▲"	"313.0"	"15:00"	"+1.0"	"+0.32%"	"93,300"
"原弘産"	"8894"	"東２"	"▼"	"10.0"	"15:00"	"-1.0"	"-9.09%"	"91,700"
"タカラレーベン"	"8897"	"東１"	"▼"	"345.0"	"15:00"	"0.0"	"0.00%"	"292,000"
"センチュリー２１・ジャパン"	"8898"	"ＪＱ"	"▲"	"1,208.0"	"15:00"	"0.0"	"0.00%"	"900"
"サンウッド"	"8903"	"ＪＱ"	"▼"	"475.0"	"14:59"	"+2.0"	"+0.42%"	"3,000"
"サンヨーハウジ名古屋"	"8904"	"東１"	"▼"	"947.0"	"15:00"	"-5.0"	"-0.53%"	"11,100"
"イオンモール"	"8905"	"東１"	"▼"	"1,704.0"	"15:00"	"-69.0"	"-3.89%"	"927,100"
"毎日コムネット"	"8908"	"東１"	"▼"	"778.0"	"15:00"	"-5.0"	"-0.64%"	"17,400"
"シノケングループ"	"8909"	"ＪＱ"	"▲"	"718.0"	"15:00"	"+2.0"	"+0.28%"	"219,000"
"エリアクエスト"	"8912"	"東２"	"▼"	"128.0"	"15:00"	"-5.0"	"-3.76%"	"131,400"
"エリアリンク"	"8914"	"東マ"	"▲"	"1,126.0"	"15:00"	"-27.0"	"-2.34%"	"201,400"
"ファースト住建"	"8917"	"東１"	"▼"	"1,216.0"	"15:00"	"-8.0"	"-0.65%"	"48,200"
"ランド"	"8918"	"東１"	"▼"	"8.0"	"15:00"	"0.0"	"0.00%"	"6,252,100"
"カチタス"	"8919"	"東１"	"▼"	"3,665.0"	"15:00"	"-15.0"	"-0.41%"	"134,600"
"東祥"	"8920"	"東１"	"▼"	"2,855.0"	"15:00"	"-34.0"	"-1.18%"	"62,000"
"日本アセットマーケティング"	"8922"	"東マ"	"▼"	"105.0"	"15:00"	"0.0"	"0.00%"	"217,600"
"トーセイ"	"8923"	"東１"	"▼"	"922.0"	"15:00"	"-2.0"	"-0.22%"	"114,100"
"アルデプロ"	"8925"	"東２"	"▲"	"39.0"	"15:00"	"-2.0"	"-4.88%"	"3,168,500"
"明豊エンタープライズ"	"8927"	"ＪＱ"	"▲"	"256.0"	"15:00"	"0.0"	"0.00%"	"157,000"
"穴吹興産"	"8928"	"東１"	"▼"	"2,940.0"	"15:00"	"-3.0"	"-0.10%"	"8,500"
"青山財産ネットワークス"	"8929"	"東２"	"▼"	"1,587.0"	"15:00"	"+15.0"	"+0.95%"	"52,800"
"和田興産"	"8931"	"ＪＱ"	"▼"	"772.0"	"15:00"	"-6.0"	"-0.77%"	"5,800"
"サンフロンティア不動産"	"8934"	"東１"	"▲"	"1,134.0"	"15:00"	"+5.0"	"+0.44%"	"170,700"
"エフ・ジェー・ネクスト"	"8935"	"東１"	"▼"	"890.0"	"15:00"	"-18.0"	"-1.98%"	"86,700"
"ＬＣホールディングス"	"8938"	"ＪＱ"	"▲"	"988.0"	"15:00"	"+12.0"	"+1.23%"	"11,700"
"インテリックス"	"8940"	"東１"	"▲"	"729.0"	"15:00"	"+1.0"	"+0.14%"	"35,000"
"ランドビジネス"	"8944"	"東１"	"▲"	"783.0"	"15:00"	"-21.0"	"-2.61%"	"11,000"
"日本社宅サービス"	"8945"	"東２"	"▲"	"837.0"	"15:00"	"+5.0"	"+0.60%"	"3,700"
"ＡＳＩＡＮＳＴＡＲ"	"8946"	"ＪＱ"	"▼"	"108.0"	"15:00"	"0.0"	"0.00%"	"89,100"
"日本ビルファンド"	"8951"	"東証"	"▼"	"717,000.0"	"15:00"	"-1,000.0"	"-0.14%"	"3,996"
"ジャパンリアルエステイト"	"8952"	"東証"	"▼"	"617,000.0"	"15:00"	"-4,000.0"	"-0.64%"	"4,769"
"日本リテールファンド"	"8953"	"東証"	"▼"	"213,000.0"	"15:00"	"-1,600.0"	"-0.75%"	"12,083"
"オリックス不動産投資"	"8954"	"東証"	"▼"	"195,500.0"	"15:00"	"-500.0"	"-0.26%"	"4,542"
"日本プライムリアルティ"	"8955"	"東証"	"▼"	"445,000.0"	"15:00"	"-3,500.0"	"-0.78%"	"1,877"
"プレミア投資法人"	"8956"	"東証"	"▼"	"137,900.0"	"15:00"	"-1,300.0"	"-0.93%"	"4,178"
"東急リアル・エステート"	"8957"	"東証"	"▼"	"175,000.0"	"15:00"	"-1,900.0"	"-1.07%"	"2,044"
"グローバル・ワン不動産"	"8958"	"東証"	"▼"	"128,500.0"	"15:00"	"-400.0"	"-0.31%"	"2,645"
"ユナイテッドアーバン投資"	"8960"	"東証"	"▼"	"177,800.0"	"15:00"	"-800.0"	"-0.45%"	"7,537"
"森トラスト総合リート"	"8961"	"東証"	"▼"	"167,900.0"	"15:00"	"-1,300.0"	"-0.77%"	"2,728"
"インヴィンシブル投資法"	"8963"	"東証"	"▼"	"56,300.0"	"15:00"	"0.0"	"0.00%"	"17,368"
"フロンティア不動産投資"	"8964"	"東証"	"▼"	"463,000.0"	"15:00"	"-5,500.0"	"-1.17%"	"1,149"
"平和不動産リート"	"8966"	"東証"	"▼"	"125,800.0"	"15:00"	"-100.0"	"-0.08%"	"1,916"
"日本ロジスティクスＦ"	"8967"	"東証"	"▼"	"238,100.0"	"15:00"	"-1,200.0"	"-0.50%"	"1,957"
"福岡リート"	"8968"	"東証"	"▼"	"173,200.0"	"15:00"	"-600.0"	"-0.35%"	"2,121"
"ケネディクス・オフィス投資"	"8972"	"東証"	"▼"	"745,000.0"	"15:00"	"-3,000.0"	"-0.40%"	"1,084"
"いちごオフィスリート投"	"8975"	"東証"	"▲"	"102,600.0"	"15:00"	"-1,100.0"	"-1.06%"	"2,750"
"大和証券オフィス投資"	"8976"	"東証"	"▼"	"751,000.0"	"15:00"	"-11,000.0"	"-1.44%"	"1,263"
"阪急阪神リート"	"8977"	"東証"	"▼"	"148,300.0"	"15:00"	"-800.0"	"-0.54%"	"1,429"
"スターツプロシード投資"	"8979"	"東証"	"▼"	"173,400.0"	"15:00"	"-900.0"	"-0.52%"	"758"
"大和ハウスリート"	"8984"	"東証"	"▲"	"255,500.0"	"15:00"	"+1,500.0"	"+0.59%"	"4,992"
"ジャパン・ホテル・リート"	"8985"	"東証"	"▼"	"90,700.0"	"15:00"	"-500.0"	"-0.55%"	"8,440"
"日本賃貸住宅"	"8986"	"東証"	"▼"	"85,900.0"	"15:00"	"-900.0"	"-1.04%"	"6,058"
"ジャパンエクセレント投資"	"8987"	"東証"	"▼"	"159,400.0"	"15:00"	"-2,100.0"	"-1.30%"	"3,700"
"誠建設工業"	"8995"	"東２"	""	"699.0"	"  :  "	"0.0"	"0.00%"	"0"
"グランディハウス"	"8999"	"東１"	"▼"	"448.0"	"15:00"	"-2.0"	"-0.44%"	"39,800"
"東武鉄道"	"9001"	"東１"	"▼"	"3,140.0"	"15:00"	"+5.0"	"+0.16%"	"411,100"
"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"相鉄ホールディングス"	"9003"	"東１"	"▼"	"3,075.0"	"15:00"	"-85.0"	"-2.69%"	"268,800"
"東京急行"	"9005"	"東１"	"▼"	"1,812.0"	"15:00"	"-1.0"	"-0.06%"	"1,251,000"
"京浜急行"	"9006"	"東１"	"▼"	"1,896.0"	"15:00"	"+11.0"	"+0.58%"	"725,700"
"小田急電鉄"	"9007"	"東１"	"▼"	"2,614.0"	"15:00"	"+6.0"	"+0.23%"	"764,800"
"京王電鉄"	"9008"	"東１"	"▲"	"6,700.0"	"15:00"	"0.0"	"0.00%"	"321,700"
"京成電鉄"	"9009"	"東１"	"▲"	"3,890.0"	"15:00"	"-110.0"	"-2.75%"	"566,600"
"富士急行"	"9010"	"東１"	"▼"	"4,205.0"	"15:00"	"+5.0"	"+0.12%"	"36,100"
"秩父鉄道"	"9012"	"ＪＱ"	"▲"	"2,432.0"	"14:51"	"-25.0"	"-1.02%"	"300"
"新京成電鉄"	"9014"	"東１"	"▼"	"2,071.0"	"15:00"	"-13.0"	"-0.62%"	"5,000"
"新潟交通"	"9017"	"東２"	""	"1,997.0"	"14:58"	"0.0"	"0.00%"	"100"
"東日本旅客鉄道"	"9020"	"東１"	"▼"	"10,465.0"	"15:00"	"+145.0"	"+1.41%"	"1,291,400"
"西日本旅客鉄道"	"9021"	"東１"	"▲"	"8,262.0"	"15:00"	"-41.0"	"-0.49%"	"568,100"
"東海旅客鉄道"	"9022"	"東１"	"▼"	"23,895.0"	"15:00"	"-835.0"	"-3.38%"	"574,300"
"西武ホールディングス"	"9024"	"東１"	"▼"	"1,807.0"	"15:00"	"-2.0"	"-0.11%"	"871,900"
"鴻池運輸"	"9025"	"東１"	"▼"	"1,797.0"	"15:00"	"-7.0"	"-0.39%"	"55,000"
"ゼロ"	"9028"	"東２"	"▼"	"772.0"	"14:55"	"-4.0"	"-0.52%"	"13,800"
"ヒガシトゥエンティワン"	"9029"	"東２"	"▼"	"446.0"	"15:00"	"-3.0"	"-0.67%"	"11,900"
"西日本鉄道"	"9031"	"東１"	"▼"	"2,613.0"	"15:00"	"-7.0"	"-0.27%"	"84,200"
"広島電鉄"	"9033"	"東２"	"▲"	"1,110.0"	"15:00"	"-2.0"	"-0.18%"	"2,200"
"南総通運"	"9034"	"ＪＱ"	""	"1,229.0"	"  :  "	"0.0"	"0.00%"	"0"
"東部ネットワーク"	"9036"	"ＪＱ"	"▲"	"1,029.0"	"15:00"	"+5.0"	"+0.49%"	"2,300"
"ハマキョウレックス"	"9037"	"東１"	"▲"	"4,105.0"	"15:00"	"-50.0"	"-1.20%"	"36,000"
"サカイ引越センター"	"9039"	"東１"	"▼"	"6,540.0"	"15:00"	"-30.0"	"-0.46%"	"28,100"
"近鉄グループＨＬＤＧＳ"	"9041"	"東１"	"▼"	"4,935.0"	"15:00"	"+55.0"	"+1.13%"	"501,500"
"阪急阪神ＨＬＤＧＳ"	"9042"	"東１"	"▼"	"4,150.0"	"15:00"	"+25.0"	"+0.61%"	"449,600"
"南海電鉄"	"9044"	"東１"	"▼"	"3,030.0"	"15:00"	"+91.0"	"+3.10%"	"432,200"
"京阪ホールディングス"	"9045"	"東１"	"▼"	"4,725.0"	"15:00"	"+75.0"	"+1.61%"	"305,200"
"神戸電鉄"	"9046"	"東１"	"▲"	"4,000.0"	"15:00"	"-15.0"	"-0.37%"	"3,400"
"名古屋鉄道"	"9048"	"東１"	"▼"	"3,010.0"	"15:00"	"+15.0"	"+0.50%"	"383,000"
"京福電鉄"	"9049"	"東２"	"▲"	"2,905.0"	"12:30"	"+55.0"	"+1.93%"	"200"
"センコン物流"	"9051"	"ＪＱ"	"▲"	"638.0"	"09:11"	"+8.0"	"+1.27%"	"500"
"山陽電鉄"	"9052"	"東１"	"▼"	"2,218.0"	"15:00"	"-2.0"	"-0.09%"	"9,700"
"アルプス物流"	"9055"	"東２"	"▼"	"835.0"	"15:00"	"+3.0"	"+0.36%"	"8,000"
"遠州トラック"	"9057"	"ＪＱ"	"▼"	"1,138.0"	"15:00"	"-1.0"	"-0.09%"	"3,000"
"トランコム"	"9058"	"東１"	"▼"	"6,450.0"	"15:00"	"+170.0"	"+2.71%"	"44,500"
"カンダホールディングス"	"9059"	"東２"	"▼"	"761.0"	"15:00"	"+3.0"	"+0.40%"	"2,600"
"日本ロジテム"	"9060"	"ＪＱ"	"▲"	"2,951.0"	"13:47"	"-64.0"	"-2.12%"	"1,400"
"日本通運"	"9062"	"東１"	"▲"	"6,100.0"	"15:00"	"-60.0"	"-0.97%"	"585,800"
"岡山県貨物運送"	"9063"	"東２"	"▲"	"2,933.0"	"09:00"	"+45.0"	"+1.56%"	"100"
